City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
396,Sao Felix Do Xingu,BR,85.87,broken clouds,-6.6447,-51.995,Rio Xingu Camping
397,Salalah,OM,78.89,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
400,Bathsheba,BB,80.65,scattered clouds,13.2167,-59.5167,Atlantis Hotel
412,Forecariah,GN,76.46,light rain,9.4306,-13.0881,"Motel "" La Maison Blanche"""
416,Robertsport,LR,79.14,light rain,6.7533,-11.3686,Kwepunha Retreat
428,Kulhudhuffushi,MV,81.28,overcast clouds,6.6221,73.07,Haajy Guest House 1
429,Coahuayana,MX,85.24,few clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
433,Nhulunbuy,AU,77.61,clear sky,-12.2333,136.7667,East Arnhem Real Estate
435,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
442,Nouna,BF,87.37,overcast clouds,12.7333,-3.8667,Sabunyuma So
446,Nicoya,CR,82.71,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
455,Sinnamary,GF,79.39,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
456,Cartagena,CO,82.02,broken clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
461,Mahibadhoo,MV,80.62,moderate rain,3.7833,72.9667,Omadhoo Inn
474,Tomatlan,MX,84.2,clear sky,19.9333,-105.25,El Salvial
475,Ahuimanu,US,82.11,light rain,21.4447,-157.8378,Paradise Bay Resort
489,Bartica,GY,77.25,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
490,Kandi,BJ,78.64,clear sky,11.1342,2.9386,Hébergement de la Poste
491,Vanimo,PG,78.1,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
494,Basco,PH,81.5,broken clouds,20.4487,121.9702,Nathaniel's Lodge
496,Dabola,GN,76.95,clear sky,10.75,-11.1167,Hotel Tinkisso
499,Vung Tau,VN,79.48,overcast clouds,10.346,107.0843,Seaside Resort
504,Ratnagiri,IN,76.68,clear sky,16.9833,73.3,Hotel Landmark
506,Buin,CL,75.52,broken clouds,-33.7333,-70.75,Paihuen
508,Kinablangan,PH,77.81,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
510,Miracema Do Tocantins,BR,83.5,overcast clouds,-9.5618,-48.3967,Miami Apart Hotel
511,Ishigaki,JP,76.64,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
512,Koumac,NC,77.11,scattered clouds,-20.5667,164.2833,Le Monitel
513,Filingue,NE,84.31,scattered clouds,14.3521,3.3168,Chez Zarkilou Issa
514,Morant Bay,JM,82.17,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
521,Port-Gentil,GA,80.56,thunderstorm,-0.7193,8.7815,Fengshui Residence
525,Puerto Escondido,MX,85.03,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
527,Buchanan,LR,78.03,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
537,Manta,EC,80.38,scattered clouds,-0.95,-80.7333,Balandra Hotel
542,Kununurra,AU,80.58,few clouds,-15.7667,128.7333,Hotel Kununurra
543,Koungou,YT,78.51,clear sky,-12.7336,45.2042,Villa Netibor
547,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
549,Ciudad Bolivar,VE,85.55,broken clouds,8.1222,-63.5497,Hotel Edi
558,Amahai,ID,79.0,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
571,General Roca,AR,75.61,few clouds,-39.0333,-67.5833,Hotel El Recreo
584,Itatiaia,BR,75.22,scattered clouds,-22.4961,-44.5633,La Ponsa
585,Kapoeta,SS,78.66,light rain,4.7717,33.5903,Lokoges PHCC
586,Malpe,IN,78.1,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
596,Sucre,BO,79.66,scattered clouds,-19.0333,-65.2627,Hostal CasArte Takubamba
603,Santa Marta,CO,77.9,light rain,11.2408,-74.199,Hotel La Ballena Azul
604,Popondetta,PG,76.46,light rain,-8.7537,148.2534,Timos Transit House
605,Ranong,TH,77.86,overcast clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
612,Buala,SB,82.0,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
614,Puerto Ayacucho,VE,87.67,few clouds,5.6639,-67.6236,Posada Turistica Manapiare
619,Bubaque,GW,83.16,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
621,Weligama,LK,75.43,moderate rain,5.9667,80.4167,Weligama Bay Resort
622,Dunmore Town,BS,80.78,few clouds,25.5,-76.65,Coral Sands Hotel
624,Honiara,SB,82.18,overcast clouds,-9.4333,159.95,Heritage Park Hotel
626,Bima,ID,77.54,overcast clouds,-8.4667,118.7167,Lambitu Hotel
629,Camopi,GF,76.14,overcast clouds,3.1655,-52.3158,La pousada
638,Itupiranga,BR,88.12,overcast clouds,-5.1347,-49.3267,Hotel Panorama
639,Ransang,PH,78.39,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
655,Ternate,ID,80.8,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
656,Boa Vista,BR,89.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
657,Neiafu,TO,78.44,moderate rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
662,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
665,Hwange,ZW,76.08,overcast clouds,-18.3693,26.5019,Hwange Colliery Guest House
669,Guadalajara,MX,83.98,few clouds,20.6667,-103.3333,Hotel Aranzazú
675,Tamandare,BR,78.33,few clouds,-8.7597,-35.1047,Pousada 100 Passos
681,Sao Mateus,BR,77.2,overcast clouds,-18.7161,-39.8589,Hotel Rio Norte
690,Umm Lajj,SA,78.62,clear sky,25.0213,37.2685,Moon light Furnished Units
698,Gunjur,GM,75.27,clear sky,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
699,Manati,PR,83.86,broken clouds,18.4275,-66.4921,Manati World Point Inn
701,Dakar,SN,76.08,overcast clouds,14.6937,-17.4441,Novotel Dakar
706,Wanning,CN,76.75,overcast clouds,18.8003,110.3967,Paradise Hotel
710,Marsh Harbour,BS,79.75,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
711,Touros,BR,79.11,few clouds,-5.1989,-35.4608,INN NEW HORIZON
712,Auki,SB,80.02,overcast clouds,-8.7676,160.7034,Auki Motel
715,Liloy,PH,77.88,scattered clouds,8.1144,122.6594,LILOY HOME STAY
716,Ambulu,ID,75.99,broken clouds,-8.345,113.6058,Hotel Ambulu Jember
717,Eyl,SO,78.19,scattered clouds,7.9803,49.8164,EYL AQUE SYSTEM
718,Cayungnan,PH,79.38,scattered clouds,16.1332,119.8375,Blissful Shore
721,Mayumba,GA,77.13,broken clouds,-3.432,10.6554,LIKWALE LODGE
